gene_id,importance_score,z_score,is_perturbed
A2M,0.0,-0.17964239331779489,False
A2ML1,0.0,-0.17964239331779489,False
ABAT,0.0,-0.17964239331779489,False
ABCD3,0.0,-0.17964239331779489,False
ABLIM1,0.0,-0.17964239331779489,False
ACACA,0.0,-0.17964239331779489,False
ACACB,0.0,-0.17964239331779489,False
ACADSB,0.0,-0.17964239331779489,False
ACADVL,0.0,-0.17964239331779489,False
ACLY,0.0,-0.17964239331779489,False
ACSF2,0.0,-0.17964239331779489,False
ACSL1,0.0,-0.17964239331779489,False
ACSL3,0.0,-0.17964239331779489,False
ACTA1,0.0,-0.17964239331779489,False
ACTA2,0.0,-0.17964239331779489,False
ACTB,0.0,-0.17964239331779489,False
ACTG1,0.0,-0.17964239331779489,False
ACTG2,0.0,-0.17964239331779489,False
ACTN1,0.0,-0.17964239331779489,False
ACTN2,0.0,-0.17964239331779489,False
ACTN3,0.0,-0.17964239331779489,False
ACTN4,0.0,-0.17964239331779489,False
ACTR2,0.0,-0.17964239331779489,False
ACTR3,0.0,-0.17964239331779489,False
ADAM12,0.0,-0.17964239331779489,False
ADAM15,0.0,-0.17964239331779489,False
ADAM9,0.0,-0.17964239331779489,False
ADAMTS1,0.0,-0.17964239331779489,False
ADAMTS2,0.0,-0.17964239331779489,False
ADAR,0.0,-0.17964239331779489,False
ADCY1,0.0,-0.17964239331779489,False
ADD1,0.0,-0.17964239331779489,False
ADD3,0.0,-0.17964239331779489,False
ADGRB2,0.009999999999999998,2.7521214656286177,True
ADGRG1,0.0,-0.17964239331779489,False
ADH1B,0.0,-0.17964239331779489,False
ADIPOQ,0.0,-0.17964239331779489,False
ADIPOR1,0.0,-0.17964239331779489,False
ADIPOR2,0.0,-0.17964239331779489,False
ADNP,0.029999999999999995,8.615649183521443,True
AFDN,0.0,-0.17964239331779489,False
AFF3,0.0,-0.17964239331779489,False
AFF4,0.0,-0.17964239331779489,False
AGL,0.0,-0.17964239331779489,False
AGR2,0.0,-0.17964239331779489,False
AGR3,0.0,-0.17964239331779489,False
AGRN,0.0,-0.17964239331779489,False
AGTR1,0.0,-0.17964239331779489,False
AHCY,0.0,-0.17964239331779489,False
AHCYL1,0.0,-0.17964239331779489,False
AHNAK,0.0,-0.17964239331779489,False
AKAP12,0.0,-0.17964239331779489,False
AKAP9,0.0,-0.17964239331779489,False
AKT1,0.009999999999999998,2.7521214656286177,True
ALB,0.0,-0.17964239331779489,False
ALCAM,0.0,-0.17964239331779489,False
ALDH2,0.0,-0.17964239331779489,False
ALDH3A2,0.0,-0.17964239331779489,False
ALDH3B2,0.0,-0.17964239331779489,False
ALDH9A1,0.0,-0.17964239331779489,False
ALOX15B,0.0,-0.17964239331779489,False
AMFR,0.0,-0.17964239331779489,False
ANKRD17,0.019999999999999997,5.68388532457503,True
ANO1,0.0,-0.17964239331779489,False
ANO6,0.0,-0.17964239331779489,False
ANP32B,0.0,-0.17964239331779489,False
ANPEP,0.0,-0.17964239331779489,False
ANTXR1,0.0,-0.17964239331779489,False
ANXA1,0.0,-0.17964239331779489,False
ANXA2,0.0,-0.17964239331779489,False
ANXA5,0.0,-0.17964239331779489,False
ANXA6,0.0,-0.17964239331779489,False
AOC3,0.0,-0.17964239331779489,False
AP1B1,0.0,-0.17964239331779489,False
AP1G1,0.0,-0.17964239331779489,False
AP2B1,0.0,-0.17964239331779489,False
AP2M1,0.0,-0.17964239331779489,False
APBB2,0.0,-0.17964239331779489,False
APH1A,0.0,-0.17964239331779489,False
APLP2,0.0,-0.17964239331779489,False
APMAP,0.0,-0.17964239331779489,False
APOD,0.0,-0.17964239331779489,False
APOE,0.0,-0.17964239331779489,False
APP,0.0,-0.17964239331779489,False
AQP1,0.0,-0.17964239331779489,False
AQP3,0.0,-0.17964239331779489,False
AR,0.0,-0.17964239331779489,False
ARCN1,0.0,-0.17964239331779489,False
AREG,0.0,-0.17964239331779489,False
ARF1,0.0,-0.17964239331779489,False
ARF3,0.0,-0.17964239331779489,False
ARF4,0.0,-0.17964239331779489,False
ARF6,0.0,-0.17964239331779489,False
ARFGEF1,0.0,-0.17964239331779489,False
ARFGEF2,0.0,-0.17964239331779489,False
ARFGEF3,0.0,-0.17964239331779489,False
ARHGAP1,0.0,-0.17964239331779489,False
ARHGAP29,0.0,-0.17964239331779489,False
ARHGAP32,0.0,-0.17964239331779489,False
ARHGAP35,0.0,-0.17964239331779489,False
ARHGDIB,0.0,-0.17964239331779489,False
ARHGEF12,0.0,-0.17964239331779489,False
ARHGEF6,0.0,-0.17964239331779489,False
ARID1A,0.0,-0.17964239331779489,False
ARL1,0.0,-0.17964239331779489,False
ARL6IP1,0.0,-0.17964239331779489,False
ARL6IP5,0.0,-0.17964239331779489,False
ARNT2,0.0,-0.17964239331779489,False
ARPC2,0.0,-0.17964239331779489,False
ARPC3,0.0,-0.17964239331779489,False
ARPC5,0.0,-0.17964239331779489,False
ARPP19,0.0,-0.17964239331779489,False
ARRDC3,0.0,-0.17964239331779489,False
ASAH1,0.0,-0.17964239331779489,False
ASH1L,0.0,-0.17964239331779489,False
ASH2L,0.0,-0.17964239331779489,False
ASPH,0.0,-0.17964239331779489,False
ASPN,0.0,-0.17964239331779489,False
ASS1,0.0,-0.17964239331779489,False
ATAD2,0.009999999999999998,2.7521214656286177,True
ATF3,0.0,-0.17964239331779489,False
ATF4,0.009999999999999998,2.7521214656286177,True
ATM,0.029999999999999995,8.615649183521443,True
ATN1,0.0,-0.17964239331779489,False
ATP1A1,0.0,-0.17964239331779489,False
ATP1A2,0.0,-0.17964239331779489,False
ATP1B1,0.0,-0.17964239331779489,False
ATP2A1,0.0,-0.17964239331779489,False
ATP2A2,0.0,-0.17964239331779489,False
ATP2A3,0.0,-0.17964239331779489,False
ATP2B4,0.0,-0.17964239331779489,False
ATP2C1,0.0,-0.17964239331779489,False
ATP6AP1,0.0,-0.17964239331779489,False
ATP6AP2,0.0,-0.17964239331779489,False
ATP6V0E1,0.0,-0.17964239331779489,False
AUTS2,0.0,-0.17964239331779489,False
AZGP1,0.0,-0.17964239331779489,False
AZIN1,0.0,-0.17964239331779489,False
B2M,0.0,-0.17964239331779489,False
B4GALT1,0.0,-0.17964239331779489,False
BAG1,0.0,-0.17964239331779489,False
BAG3,0.0,-0.17964239331779489,False
BAG6,0.0,-0.17964239331779489,False
BAMBI,0.0,-0.17964239331779489,False
BAZ1B,0.0,-0.17964239331779489,False
BAZ2A,0.0,-0.17964239331779489,False
BCAM,0.0,-0.17964239331779489,False
BCAP31,0.0,-0.17964239331779489,False
BCHE,0.0,-0.17964239331779489,False
BCL2,0.0,-0.17964239331779489,False
BGN,0.0,-0.17964239331779489,False
BIN1,0.0,-0.17964239331779489,False
BMPR1B,0.0,-0.17964239331779489,False
BMPR2,0.0,-0.17964239331779489,False
BNIP3L,0.0,-0.17964239331779489,False
BPIFB1,0.0,-0.17964239331779489,False
BPIFB2,0.0,-0.17964239331779489,False
BPTF,0.009999999999999998,2.7521214656286177,True
BRCA1,0.0,-0.17964239331779489,False
BRCA2,0.0,-0.17964239331779489,False
BRD2,0.0,-0.17964239331779489,False
BRK1,0.0,-0.17964239331779489,False
BRWD1,0.009999999999999998,2.7521214656286177,True
BSG,0.0,-0.17964239331779489,False
BST2,0.0,-0.17964239331779489,False
BTF3,0.0,-0.17964239331779489,False
BTG1,0.0,-0.17964239331779489,False
BTG2,0.0,-0.17964239331779489,False
C11orf58,0.0,-0.17964239331779489,False
C1QA,0.0,-0.17964239331779489,False
C1QB,0.0,-0.17964239331779489,False
C1QC,0.0,-0.17964239331779489,False
C1R,0.0,-0.17964239331779489,False
C1S,0.0,-0.17964239331779489,False
C1orf198,0.0,-0.17964239331779489,False
C3,0.0,-0.17964239331779489,False
C4A,0.0,-0.17964239331779489,False
C4B,0.0,-0.17964239331779489,False
C6orf62,0.0,-0.17964239331779489,False
CA2,0.0,-0.17964239331779489,False
CACNA1H,0.0,-0.17964239331779489,False
CACNA1S,0.0,-0.17964239331779489,False
CACNG4,0.0,-0.17964239331779489,False
CALCOCO2,0.0,-0.17964239331779489,False
CALD1,0.0,-0.17964239331779489,False
CALM1,0.0,-0.17964239331779489,False
CALM2,0.0,-0.17964239331779489,False
CALM3,0.0,-0.17964239331779489,False
CALML5,0.0,-0.17964239331779489,False
CALR,0.0,-0.17964239331779489,False
CALU,0.0,-0.17964239331779489,False
CAND1,0.0,-0.17964239331779489,False
CANT1,0.0,-0.17964239331779489,False
CANX,0.0,-0.17964239331779489,False
CAP1,0.0,-0.17964239331779489,False
CAPG,0.0,-0.17964239331779489,False
CAPN1,0.0,-0.17964239331779489,False
CAPN2,0.0,-0.17964239331779489,False
CAPN6,0.0,-0.17964239331779489,False
