Rank,Gene,Importance Score,Valid Target
205,BAZ1B,0.0,False
206,BAZ2A,0.0,False
207,BCAM,0.0,False
208,BCAP31,0.0,False
209,BCHE,0.0,False
210,BCL2,0.0,False
211,BGN,0.0,False
212,BIN1,0.0,False
213,BMPR1B,0.0,False
214,BMPR2,0.0,False
215,BNIP3L,0.0,False
216,BPIFB1,0.0,False
217,BPIFB2,0.0,False
218,BRCA1,0.0,True
219,BRCA2,0.0,True
220,BRD2,0.0,False
221,BRK1,0.0,False
222,BSG,0.0,False
223,BST2,0.0,False
224,BTF3,0.0,False
225,BTG1,0.0,False
226,BTG2,0.0,False
227,C11orf58,0.0,False
228,C1QA,0.0,False
229,C1QB,0.0,False
230,C1QC,0.0,False
231,C1R,0.0,False
232,C1S,0.0,False
233,C1orf198,0.0,False
234,C3,0.0,False
235,C4A,0.0,False
236,C4B,0.0,False
237,C6orf62,0.0,False
238,CA2,0.0,False
239,CACNA1H,0.0,False
240,CACNA1S,0.0,False
241,CACNG4,0.0,False
242,CALCOCO2,0.0,False
243,CALD1,0.0,False
244,CALM1,0.0,False
245,CALM2,0.0,False
246,CALM3,0.0,False
247,CALML5,0.0,False
248,CALR,0.0,False
249,CALU,0.0,False
250,CAND1,0.0,False
251,CANT1,0.0,False
252,CANX,0.0,False
253,CAP1,0.0,False
254,CAPG,0.0,False
255,CAPN1,0.0,False
256,CAPN2,0.0,False
257,CAPN6,0.0,False
258,CAPNS1,0.0,False
259,CAPRIN1,0.0,False
260,CAPZA1,0.0,False
261,CAPZB,0.0,False
262,CARTPT,0.0,False
263,CASC3,0.0,False
264,CASQ1,0.0,False
265,CAST,0.0,False
266,CAT,0.0,False
267,CAV1,0.0,False
268,CAV2,0.0,False
269,CBX1,0.0,False
270,CBX3,0.0,False
271,CBX5,0.0,False
272,CCDC117,0.0,False
273,CCDC47,0.0,False
274,CCDC6,0.0,False
275,CCDC80,0.0,False
276,CCL28,0.0,False
277,CCND1,0.0,True
278,CCNG2,0.0,False
279,CCT2,0.0,False
280,CCT3,0.0,False
281,CCT5,0.0,False
282,CCT6A,0.0,False
283,CCT7,0.0,False
284,CCT8,0.0,False
285,CD151,0.0,False
286,CD163,0.0,False
287,CD164,0.0,False
288,CD24,0.0,False
289,CD34,0.0,False
290,CD36,0.0,False
291,CD44,0.0,False
292,CD46,0.0,False
293,CD47,0.0,False
294,CD59,0.0,False
295,CD63,0.0,False
296,CD74,0.0,False
297,CD81,0.0,False
298,CD9,0.0,False
299,CD99,0.0,False
300,CDC42EP4,0.0,False
301,CDC42SE1,0.0,False
302,CDH11,0.0,False
303,CDH2,0.0,False
304,CDH3,0.0,False
305,CDK2AP1,0.0,False
306,CDKN1A,0.0,False
307,CDS2,0.0,False
308,CEACAM5,0.0,False
309,CEACAM6,0.0,False
310,CELSR1,0.0,False
311,CELSR2,0.0,False
312,CENPF,0.0,False
313,CERS2,0.0,False
314,CERS4,0.0,False
315,CERS6,0.0,False
316,CFD,0.0,False
317,CFL1,0.0,False
318,CFL2,0.0,False
319,CGA,0.0,False
320,CGN,0.0,False
321,CHCHD2,0.0,False
322,CHD1,0.0,False
323,CHD3,0.0,False
324,CHEK2,0.0,True
325,CHGA,0.0,False
326,CHGB,0.0,False
327,CHI3L1,0.0,False
328,CHMP2A,0.0,False
329,CHMP4B,0.0,False
330,CHPT1,0.0,False
331,CIDEC,0.0,False
332,CILP,0.0,False
333,CIRBP,0.0,False
334,CKAP5,0.0,False
335,CKM,0.0,False
336,CLCA2,0.0,False
337,CLDN4,0.0,False
338,CLIC1,0.0,False
339,CLIC4,0.0,False
340,CLIC6,0.0,False
341,CLSTN1,0.0,False
342,CLTC,0.0,False
343,CLU,0.0,False
344,CMPK1,0.0,False
345,CMYA5,0.0,False
346,CNBP,0.0,False
347,CNDP2,0.0,False
348,CNOT1,0.0,False
349,COL10A1,0.0,False
350,COL11A1,0.0,False
351,COL12A1,0.0,False
352,COL14A1,0.0,False
353,COL15A1,0.0,False
354,COL16A1,0.0,False
355,COL17A1,0.0,False
356,COL18A1,0.0,False
357,COL1A1,0.0,False
358,COL1A2,0.0,False
359,COL2A1,0.0,False
360,COL3A1,0.0,False
361,COL4A1,0.0,False
362,COL4A2,0.0,False
363,COL5A1,0.0,False
364,COL5A2,0.0,False
365,COL6A1,0.0,False
366,COL6A2,0.0,False
367,COL6A3,0.0,False
368,COL8A1,0.0,False
369,COLGALT1,0.0,False
370,COMP,0.0,False
371,COPA,0.0,False
372,COPB1,0.0,False
373,COPB2,0.0,False
374,COPG1,0.0,False
375,COPZ1,0.0,False
376,CORO1B,0.0,False
377,COX4I1,0.0,False
378,COX6B1,0.0,False
379,COX6C,0.0,False
380,COX7C,0.0,False
381,CP,0.0,False
382,CPB1,0.0,False
383,CPD,0.0,False
384,CPE,0.0,False
385,CPT1A,0.0,False
386,CRAT,0.0,False
387,CREB3L2,0.0,False
388,CREB3L4,0.0,False
389,CREG1,0.0,False
390,CRIM1,0.0,False
391,CRISP3,0.0,False
392,CRTAP,0.0,False
393,CRYAB,0.0,False
394,CS,0.0,False
395,CSDE1,0.0,False
396,CSE1L,0.0,False
397,CSN3,0.0,False
398,CSPG4,0.0,False
399,CSRP3,0.0,False
400,CST3,0.0,False
401,CSTB,0.0,False
402,CTDSP2,0.0,False
403,CTHRC1,0.0,False
404,CTNNA1,0.0,False
405,CTNNB1,0.0,False
406,CTNNBL1,0.0,False
407,CTSB,0.0,False
408,CTSC,0.0,False
409,CTSD,0.0,False
410,CTSF,0.0,False
411,CTSK,0.0,False
412,CTSL,0.0,False
413,CTSS,0.0,False
414,CTSZ,0.0,False
415,CTTN,0.0,False
416,CX3CL1,0.0,False
417,CXCL10,0.0,False
418,CXCL12,0.0,False
419,CXCL13,0.0,False
420,CXCL14,0.0,False
421,CXCL17,0.0,False
